station,depth,kpa,vwc
arskeogh,-200,3.7531837580080656,0.4215
arskeogh,-200,3.9300658590912043,0.41869999999999996
arskeogh,-200,4.1152841567745835,0.41590000000000005
arskeogh,-200,4.309231523900241,0.413
arskeogh,-200,4.512319348836824,0.41
arskeogh,-200,4.6924518855160615,0.4072
arskeogh,-200,4.868552171081726,0.4045
arskeogh,-200,5.051261221389769,0.4018
arskeogh,-200,5.265017611473066,0.39909999999999995
arskeogh,-200,5.48781962250108,0.39640000000000003
arskeogh,-200,5.733236119063535,0.3936
arskeogh,-200,5.975851933727148,0.3907
arskeogh,-200,6.228734625997486,0.38789999999999997
arskeogh,-200,6.492318663742764,0.3851
arskeogh,-200,6.751493101414472,0.3821
arskeogh,-200,7.0371989340329595,0.3791
arskeogh,-200,7.385838860134485,0.37560000000000004
