station,depth,model,params
ftbentcb,-100,FX,"[{""r"":-3.00637371,""s"":0.46973699,""n"":1.27903556,""m"":0.04795686,""h"":2.18745753}]"
ftbentcb,-100,VG,"[{""r"":0.03766974,""s"":0.47865037,""a"":0.36526728,""n"":1.24276071}]"
ftbentcb,-200,FX,"[{""r"":-4.96544755,""s"":0.48250047,""n"":0.91076616,""m"":0.03363622,""h"":1.32720476}]"
ftbentcb,-200,VG,"[{""r"":-0.00350836,""s"":0.47433621,""a"":0.65161461,""n"":1.16347146}]"
ftbentcb,-500,FX,"[{""r"":-9.71784141,""s"":0.41495013,""n"":0.87786174,""m"":0.01585108,""h"":8.95614295}]"
ftbentcb,-500,VG,"[{""r"":-0.04454763,""s"":0.40965353,""a"":0.0871575,""n"":1.13839615}]"
lomawood,-100,FX,"[{""r"":-0.74880719,""s"":0.45012848,""n"":3.28683779,""m"":0.1147526,""h"":4.51136877}]"
lomawood,-100,VG,"[{""r"":0.10969909,""s"":0.47152719,""a"":0.04935698,""n"":1.70612405}]"
lomawood,-200,FX,"[{""r"":-10.32224341,""s"":0.38158541,""n"":1.958904,""m"":0.01057089,""h"":5.84532704}]"
lomawood,-200,VG,"[{""r"":0.04725446,""s"":0.39677348,""a"":0.07903045,""n"":1.3374271}]"
lomawood,-500,FX,"[{""r"":-5.09084846,""s"":0.37235402,""n"":1.69333989,""m"":0.02285535,""h"":3.33084483}]"
lomawood,-500,VG,"[{""r"":0.02951438,""s"":0.38646288,""a"":0.18321471,""n"":1.31460232}]"
mdabench,-100,FX,"[{""r"":-3.354203,""s"":0.58226817,""n"":0.26960232,""m"":0.11967512,""h"":2.03286684}]"
mdabench,-100,VG,"[{""r"":-6.74656359,""s"":0.47201358,""a"":0.23791486,""n"":1.00624536}]"
mdabench,-200,FX,"[{""r"":-0.66068384,""s"":1.00480304,""n"":0.15660733,""m"":0.48089454,""h"":1.04510995e-11}]"
mdabench,-200,VG,"[{""r"":-0.46222087,""s"":0.18192313,""a"":0.12273005,""n"":1.0302877}]"
mdabench,-500,FX,"[{""r"":-2.20642467,""s"":0.57725993,""n"":0.06920389,""m"":0.34877375,""h"":0.00019029}]"
mdabench,-500,VG,"[{""r"":-0.15149752,""s"":0.19669326,""a"":0.18213361,""n"":1.0710235}]"
mdacasca,-100,FX,"[{""r"":-12.63645567,""s"":0.36620816,""n"":2.52091851,""m"":0.00772216,""h"":3.4218624}]"
mdacasca,-100,VG,"[{""r"":0.02925311,""s"":0.40059884,""a"":0.266893,""n"":1.3144062}]"
mdacasca,-200,FX,"[{""r"":-10.51399983,""s"":0.37263189,""n"":1.13654967,""m"":0.01365387,""h"":8.28405984}]"
mdacasca,-200,VG,"[{""r"":-0.03704826,""s"":0.37354674,""a"":0.07073758,""n"":1.20279722}]"
mdacasca,-500,FX,"[{""r"":-12.57712421,""s"":0.36896487,""n"":0.99174847,""m"":0.01216711,""h"":8.54021355}]"
mdacasca,-500,VG,"[{""r"":-0.07821953,""s"":0.36720694,""a"":0.08394594,""n"":1.16166213}]"
mdachine,-100,FX,"[{""r"":-15.22668578,""s"":0.43774821,""n"":0.69201001,""m"":0.01171448,""h"":9.31247135}]"
mdachine,-100,VG,"[{""r"":-0.26341333,""s"":0.42775918,""a"":0.13120201,""n"":1.07048478}]"
mdachine,-200,FX,"[{""r"":-0.63562321,""s"":0.48775247,""n"":1.48017304,""m"":0.16694239,""h"":11.99593665}]"
mdachine,-200,VG,"[{""r"":0.08601265,""s"":0.49325515,""a"":0.02793903,""n"":1.34961516}]"
