station,depth,model,mse
ftbentcb,-100,VG,1.1569314588851214e-5
ftbentcb,-200,VG,7.699469013324736e-6
ftbentcb,-500,VG,4.392892294227823e-6
lomawood,-100,VG,1.3117507619830505e-4
lomawood,-200,VG,2.7062272896379576e-5
lomawood,-500,VG,2.155002111779388e-5
mdabench,-100,VG,1.696492636438738e-4
mdabench,-200,VG,2.2648379617334643e-6
mdabench,-500,VG,3.231019369762464e-6
mdacasca,-100,VG,1.0129869933493724e-4
mdacasca,-200,VG,1.0558424523485516e-5
mdacasca,-500,VG,1.7420795245756046e-5
mdachine,-100,VG,2.5436384110156905e-5
mdachine,-200,VG,4.502759787187269e-5
mdachine,-500,VG,8.117240716302706e-5
mdachote,-100,VG,2.616089742419809e-5
mdachote,-200,VG,5.087419745010762e-5
mdachote,-500,VG,1.427494866491563e-4
mdadillo,-100,VG,2.3978270824836836e-4
mdadillo,-200,VG,1.0533133284859824e-4
mdadillo,-500,VG,5.682924406465645e-6
mdaedgar,-100,VG,1.1627246045753906e-4
mdaedgar,-200,VG,3.093578503077585e-5
mdaedgar,-500,VG,2.0226436108479044e-5
mdafroid,-100,VG,1.0683540615582966e-5
mdafroid,-200,VG,9.351720971506374e-6
mdafroid,-500,VG,8.430438426778071e-7
mdaglidf,-100,VG,1.128793577741872e-4
mdaglidf,-200,VG,9.781248152337147e-5
mdaglidf,-500,VG,9.266193531557384e-5
mdahardi,-100,VG,1.6192913319728955e-5
mdahardi,-200,VG,6.348928553826107e-5
mdahardi,-500,VG,2.889745329370451e-5
mdahogel,-100,VG,1.9968552495818863e-5
mdahogel,-200,VG,2.911766862319049e-5
mdahogel,-500,VG,1.2302942638461618e-5
mdaledge,-100,VG,1.944675734483611e-5
mdaledge,-200,VG,9.593533816408018e-6
mdaledge,-500,VG,3.4776565905361056e-4
mdamalta,-100,VG,7.395588805935264e-5
mdamalta,-200,VG,1.6689531037452073e-4
mdamalta,-500,VG,2.1877179673510837e-4
mdamanha,-100,VG,1.9467750587045737e-4
mdamanha,-200,VG,5.824727559862727e-4
mdamanha,-500,VG,7.117676040674118e-5
mdamiles,-100,VG,3.654060672274308e-5
mdamiles,-200,VG,9.730588751842438e-5
mdamiles,-500,VG,9.903482207725971e-5
mdaoilmo,-100,VG,7.769602004252668e-5
mdaoilmo,-200,VG,9.751537037148433e-5
mdaoilmo,-500,VG,4.90992480525205e-5
mdapower,-100,VG,7.347145069705192e-5
mdapower,-200,VG,6.358368371807316e-5
mdapower,-500,VG,9.74682830405774e-6
mdascoby,-100,VG,2.8378563781719983e-5
mdascoby,-200,VG,1.5775175036578158e-5
mdascoby,-500,VG,6.293886828284997e-6
mdatost2,-100,VG,5.566961706668998e-5
mdatost2,-200,VG,4.466666351960624e-5
mdatost2,-500,VG,7.144168558084406e-5
mdatwinb,-100,VG,6.236668943779455e-5
mdatwinb,-200,VG,7.360979020508807e-5
mdatwinb,-500,VG,8.225431238389343e-5
moltwest,-100,VG,8.169989101817923e-5
moltwest,-200,VG,1.7788749587437542e-4
moltwest,-500,VG,1.6207163903800818e-4
namupper,-100,VG,3.414044434892878e-6
namupper,-200,VG,1.886195184454975e-5
namupper,-500,VG,6.696931334720286e-5
raplejen,-100,VG,1.787767252484848e-4
raplejen,-200,VG,5.4324280585404287e-5
raplejen,-500,VG,2.3091106479980127e-5
reedpoin,-100,VG,2.0565629891380686e-5
reedpoin,-200,VG,2.724466530959781e-5
reedpoin,-500,VG,2.583464284142167e-5
sidneymt,-100,VG,2.9796925742009533e-5
sidneymt,-200,VG,4.272597655813806e-6
sidneymt,-500,VG,7.13646600560804e-6
turekran,-100,VG,2.648319482213648e-5
turekran,-200,VG,1.1868474744091296e-4
turekran,-500,VG,3.928523894760394e-6
wrsround,-100,VG,9.454555425389102e-6
wrsround,-200,VG,8.057536161694668e-6
wrsround,-500,VG,3.750944131546982e-7
wsrabsaw,-100,VG,4.888814298067752e-6
wsrabsaw,-200,VG,3.2095552840693374e-6
wsrabsaw,-500,VG,9.69092667969367e-5
wsrboydw,-100,VG,6.880447599166187e-6
wsrboydw,-200,VG,8.934284423020447e-6
wsrboydw,-500,VG,1.1501667695833049e-6
wsrbroad,-100,VG,3.092683931093312e-5
wsrbroad,-200,VG,1.1779764757392768e-4
wsrbroad,-500,VG,1.1477768983086958e-5
wsrmelvi,-100,VG,8.475498787171176e-6
wsrmelvi,-200,VG,2.4055038369454756e-6
wsrmelvi,-500,VG,2.7387054274595637e-6
